Login,Role,Standard Role,Role Base Name,Role Group
julian.montoya,Data Developer,Data Developer - Sr,Data Developer,4 - Senior
julian.ospina,Developer,Developer - Sr,Developer,4 - Senior
juliana.buitrago,Tech Intern,Intern,Intern,1 - Intern
juliana.paula,Tester,QA - Mid,QA,3 - Mid-Level
juliana.xavier,Not Applicable,Not Applicable,Not Applicable,6 - Master 2 / Senior Manager
julianaa,Tester,QA - Sr,QA,4 - Senior
julianaas,Developer,Developer - Sr,Developer,4 - Senior
julianabg,Squad Leader,Squad Leader,Squad Leader,5 - Master / Manager
julianabrandao,Tester,QA - Mid,QA,3 - Mid-Level
julianacp,Developer Master,Developer - Master,Developer,5 - Master / Manager
julianacruz,Digital Strategist,Digital Strategist,Digital Strategist,5 - Master / Manager
julianagc,Squad Leader,Scrum Master,Scrum Master,4 - Senior
julianal,Developer,Developer - Mid,Developer,3 - Mid-Level
julianalm,Developer,Intern,Intern,1 - Intern
julianamt,Developer,Developer - Sr,Developer,4 - Senior
julianapatino,Squad Leader,Scrum Master,Scrum Master,4 - Senior
julianarg,Developer,Developer - Mid,Developer,3 - Mid-Level
julianas,Tester,QA - Mid,QA,3 - Mid-Level
julianasp,Developer,Developer - Jr,Developer,2 - Junior
julianek,Support Analyst,Support Analyst - Mid,Support Analyst,3 - Mid-Level
julianne,Tester,QA - Sr,QA,4 - Senior
julianocp,Developer,Developer - Sr,Developer,4 - Senior
julianogm,Developer,Developer - Sr,Developer,4 - Senior
julianohp,Developer,Developer - Mid,Developer,3 - Mid-Level
julianomr,Data & Analytics Specialist,Data Analyst - Sr,Data Analyst,4 - Senior
julianopires,Developer,Developer - Mid,Developer,3 - Mid-Level
julianor,Developer,Intern,Intern,1 - Intern
julianors,Squad Leader,Squad Leader,Squad Leader,5 - Master / Manager
juliap,UI Designer,UI Designer - Mid,UI Designer,3 - Mid-Level
juliaricordi,Tester,QA - Mid,QA,3 - Mid-Level
julias,Product Designer,UI Designer - Sr,UI Designer,4 - Senior
juliasb,Developer,Developer - Mid,Developer,3 - Mid-Level
juliavp,Scrum Master,Scrum Master,Scrum Master,4 - Senior
juliay,Developer,Intern,Intern,1 - Intern
juliayn,UI Designer,UI Designer - Mid,UI Designer,3 - Mid-Level
juliele,Product Designer,UI Designer - Sr,UI Designer,4 - Senior
julietegomes,Developer,Developer - Sr,Developer,4 - Senior
juliez,Developer,Developer - Mid,Developer,3 - Mid-Level
julio.dias,UI Expert,UI Designer - Master,UI Designer,5 - Master / Manager
julio.faundes,UI Designer,UI Designer - Mid,UI Designer,3 - Mid-Level
julio.godoi,Squad Leader,Squad Leader,Squad Leader,5 - Master / Manager
julio.quadros,Senior Manager,Senior Manager,Senior Manager,6 - Master 2 / Senior Manager
juliocesar,Developer,Developer - Sr,Developer,4 - Senior
juliocr,Developer Master,Developer - Master,Developer,5 - Master / Manager
julioguimaraes,Systems Architect,Systems Architect,Systems Architect,5 - Master / Manager
juliok,Developer,Developer - Jr,Developer,2 - Junior
juliomartins,Developer,Developer - Mid,Developer,3 - Mid-Level
juliomartinsamson,Quality Analyst,QA - Sr,QA,4 - Senior
juliooliveira,Developer,Developer - Mid,Developer,3 - Mid-Level
juliors,Developer,Intern,Intern,1 - Intern
julioy,Developer,Developer - Mid,Developer,3 - Mid-Level
juma,Business Analyst,Business Analyst - Sr,Business Analyst,4 - Senior
junchaow,Developer,Developer - Mid,Developer,3 - Mid-Level
junioantonelli,Developer,Developer - Sr,Developer,4 - Senior
juniomb,Squad Leader,Squad Leader,Squad Leader,5 - Master / Manager
junior,Architecture Manager,Principal Architect,Principal Architect,6 - Master 2 / Senior Manager
junlong,Tester,QA - Jr,QA,2 - Junior
justinec,Project Manager,Project Manager,Project Manager,5 - Master / Manager
justinralphtorres,Developer,Developer - Sr,Developer,4 - Senior
juzenios,Tester,QA - Mid,QA,3 - Mid-Level
jvagmacker,Software Architect,Software Architect - Sr,Software Architect,4 - Senior
jvassoler,Tester,QA - Mid,QA,3 - Mid-Level
jvbrito,Developer,Developer - Mid,Developer,3 - Mid-Level
jvelasquez,Data & Analytics Specialist,Data Analyst - Mid,Data Analyst,3 - Mid-Level
jvertematti,Developer,Developer - Mid,Developer,3 - Mid-Level
jvictorio,Tester,QA - Mid,QA,3 - Mid-Level
jvinicius,Developer,Developer - Sr,Developer,4 - Senior
jvitoria,Developer,Developer - Mid,Developer,3 - Mid-Level
jvsousa,Developer,Developer - Mid,Developer,3 - Mid-Level
jwinderfeld,Developer,Developer - Mid,Developer,3 - Mid-Level
jyeverson,Developer,Developer - Mid,Developer,3 - Mid-Level
jzeferino,Data Developer,Data Developer - Sr,Data Developer,4 - Senior
kadubp,Architecture Manager,Principal Architect,Principal Architect,6 - Master 2 / Senior Manager
kaiolopes,Developer,Developer - Sr,Developer,4 - Senior
kaiopc,Tester,QA - Mid,QA,3 - Mid-Level
kaiosp,Developer,Developer - Sr,Developer,4 - Senior
kaiquec,Developer,Developer - Jr,Developer,2 - Junior
kaiquecs,Developer,Developer - Mid,Developer,3 - Mid-Level
kaiqueo,Developer,Developer - Sr,Developer,4 - Senior
kaitlynn.larkins,UI Designer,UI Designer - Mid,UI Designer,3 - Mid-Level
kaiy,Scrum Master,Scrum Master,Scrum Master,4 - Senior
kalebes,Developer,Developer - Sr,Developer,4 - Senior
kalianne,Developer Master,Developer - Master,Developer,5 - Master / Manager
kalil,Developer,Developer - Sr,Developer,4 - Senior
kaline,Data Scientist,Data Scientist - Jr,Data Scientist,2 - Junior
kalyanp,Systems Architect,Systems Architect,Systems Architect,5 - Master / Manager
kamilass,Developer,Intern,Intern,1 - Intern
kamily.oliveira,Developer,Intern,Intern,1 - Intern
kamyllab,Business Analyst,Business Analyst - Sr,Business Analyst,4 - Senior
kananda,Senior Manager,Senior Manager,Senior Manager,6 - Master 2 / Senior Manager
kang,Software Architect,Software Architect - Sr,Software Architect,4 - Senior
karem.moreno,Project Manager,Project Manager,Project Manager,5 - Master / Manager
karen.mendez,Developer,Developer - Jr,Developer,2 - Junior
karenaguiar,Tester,QA - Mid,QA,3 - Mid-Level
karenkramek,Developer,Developer - Sr,Developer,4 - Senior
karensm,Tester,QA - Sr,QA,4 - Senior
karenyauw,Senior Manager,Senior Manager,Senior Manager,6 - Master 2 / Senior Manager
karian.silva,Tester,QA - Sr,QA,4 - Senior
karina.minuzzo,Developer,Developer - Sr,Developer,4 - Senior
karinac,Squad Leader,Scrum Master,Scrum Master,4 - Senior
karinacm,Senior Manager,Senior Manager,Senior Manager,6 - Master 2 / Senior Manager
karinaoliveira,Developer,Developer - Sr,Developer,4 - Senior
karinapereira,Tester,QA - Mid,QA,3 - Mid-Level
karine.contarin,Developer,Developer - Sr,Developer,4 - Senior
karinea,Developer,Intern,Intern,1 - Intern
karlajuliane,Tester,QA - Mid,QA,3 - Mid-Level
karlaps,Squad Leader,Scrum Master,Scrum Master,4 - Senior
karolinenl,Developer,Developer - Mid,Developer,3 - Mid-Level
kassyus,Squad Leader,Squad Leader,Squad Leader,5 - Master / Manager
katebanez,Developer,Developer - Sr,Developer,4 - Senior
katerin.ortiz,Developer,Developer - Mid,Developer,3 - Mid-Level
katerine.chavarriaga,Support Analyst,Support Analyst - Jr,Support Analyst,2 - Junior
katherin.henao,Quality Analyst,QA - Sr,QA,4 - Senior
katherine,Salesforce Solutions Specialist,Not Applicable,Not Applicable,3 - Mid-Level
katherine.diaz,Product Designer Expert,UI Designer - Master,UI Designer,5 - Master / Manager
katiacosta,Squad Leader,Squad Leader,Squad Leader,5 - Master / Manager
katie.stotter,Senior Strategy Director,Not Applicable,Not Applicable,6 - Master 2 / Senior Manager
kauanh,Developer,Developer - Sr,Developer,4 - Senior
kauers,Developer,Developer - Sr,Developer,4 - Senior
kawe,Developer,Developer - Sr,Developer,4 - Senior
kayla.herrera,Content Strategist,Not Applicable,Not Applicable,2 - Junior
kaylel,Developer,Developer - Mid,Developer,3 - Mid-Level
kayques,Developer,Developer - Sr,Developer,4 - Senior
kayquew,Developer,Developer - Mid,Developer,3 - Mid-Level
kbassotto,Business Analyst,Business Analyst - Mid,Business Analyst,3 - Mid-Level
kbizanha,Digital Strategist,Digital Strategist,Digital Strategist,5 - Master / Manager
kbraccio,Developer,Intern,Intern,1 - Intern
kcabral,Developer,Developer - Mid,Developer,3 - Mid-Level
kcampos,Developer,Developer - Jr,Developer,2 - Junior
keila.martinez,Quality Analyst,QA - Sr,QA,4 - Senior
keilaak,Product Designer,UI Designer - Sr,UI Designer,4 - Senior
keilafernandes,Developer,Developer - Mid,Developer,3 - Mid-Level
kelli,Business Analyst,Business Analyst - Sr,Business Analyst,4 - Senior
kellyartiaga,Developer,Developer - Sr,Developer,4 - Senior
kelvinramos,Developer,Developer - Mid,Developer,3 - Mid-Level
kendra,Tester,QA - Mid,QA,3 - Mid-Level
kenedy,Developer,Developer - Sr,Developer,4 - Senior
kennedy.santos,Data Developer,Data Developer - Sr,Data Developer,4 - Senior
kennedyrocha,Tester,QA - Mid,QA,3 - Mid-Level
kennyl,Tester,QA - Jr,QA,2 - Junior
kenz,Systems Architect,Systems Architect,Systems Architect,5 - Master / Manager
keryson,Developer,Developer - Sr,Developer,4 - Senior
kesenz,Tester,QA - Sr,QA,4 - Senior
kesleyavs,Developer,Developer - Jr,Developer,2 - Junior
kessia,Squad Leader,Scrum Master,Scrum Master,4 - Senior
keust,Software Architect,Software Architect - Sr,Software Architect,4 - Senior
keven,Developer,Intern,Intern,1 - Intern
keven.aguiar,Developer,Developer - Mid,Developer,3 - Mid-Level
kevin.almeida,Developer,Developer - Mid,Developer,3 - Mid-Level
kevin.sierra,Developer,Developer - Mid,Developer,3 - Mid-Level
kevink,Developer,Developer - Mid,Developer,3 - Mid-Level
kevinp,Senior Manager,Senior Manager,Senior Manager,6 - Master 2 / Senior Manager
kevins,Developer,Developer - Sr,Developer,4 - Senior
kewen,Developer,Developer - Master,Developer,5 - Master / Manager
kflorencio,Systems Architect,Systems Architect,Systems Architect,5 - Master / Manager
khaio,DevOps,Not Applicable,Not Applicable,4 - Senior
khalil.shaikh,Developer,Developer - Sr,Developer,4 - Senior
khalilm,Developer,Developer - Sr,Developer,4 - Senior
khashimoto,Data Scientist,Data Scientist - Mid,Data Scientist,3 - Mid-Level
kikoz,Tech Intern,Intern,Intern,1 - Intern
kikuti,Senior Digital Strategist,Senior Digital Strategist,Senior Digital Strategist,6 - Master 2 / Senior Manager
kimnuyda,Scrum Master,Scrum Master,Scrum Master,3 - Mid-Level
kiran.dosanjh,Senior Manager,Senior Manager,Senior Manager,6 - Master 2 / Senior Manager
kirllensilva,Developer,Developer - Sr,Developer,4 - Senior
kjulyana,Developer,Developer - Jr,Developer,2 - Junior
kleberls,Developer Master,Developer - Master,Developer,5 - Master / Manager
kleberm,Tester Master,QA - Master,QA,5 - Master / Manager
klebersr,Developer Master,Developer - Master,Developer,5 - Master / Manager
klebsonl,Software Architect,Software Architect - Sr,Software Architect,4 - Senior
kleisondantas,Developer,Developer - Mid,Developer,3 - Mid-Level
kleitonm,Developer,Developer - Sr,Developer,4 - Senior
kmatos,Developer,Developer - Jr,Developer,2 - Junior
kmoraes,Developer,Developer - Jr,Developer,2 - Junior
kmorari,"Senior Business Director, EMEA",Senior Manager,Senior Manager,6 - Master 2 / Senior Manager
kneves,Developer,Intern,Intern,1 - Intern
kornchaia,Developer Master,Developer - Master,Developer,5 - Master / Manager
kparron,Scrum Master,Scrum Master,Scrum Master,3 - Mid-Level
kperdiz,Developer,Developer - Mid,Developer,3 - Mid-Level
kpereira,Developer,Developer - Mid,Developer,3 - Mid-Level
kredley,Developer,Developer - Sr,Developer,4 - Senior
kribeiro,Developer,Developer - Jr,Developer,2 - Junior
kristhinef,Developer,Developer - Sr,Developer,4 - Senior
kristinabgc,Support Analyst,Support Analyst - Jr,Support Analyst,2 - Junior
ksantana,Tester,QA - Sr,QA,4 - Senior
ktaguchi,Squad Leader,Scrum Master,Scrum Master,4 - Senior
ktrevizan,Product Manager,Product Manager,Product Manager,5 - Master / Manager
kurtedora,Developer,Developer - Mid,Developer,3 - Mid-Level
kvogado,Developer,Developer - Sr,Developer,4 - Senior
kyled,Software Architect,Software Architect - Sr,Software Architect,4 - Senior
kyrie,Developer,Developer - Jr,Developer,2 - Junior
laertej,Developer,Developer - Mid,Developer,3 - Mid-Level
laerthes,Developer,Developer - Mid,Developer,3 - Mid-Level
laguilar,Senior Manager,Senior Manager,Senior Manager,6 - Master 2 / Senior Manager
laiana,Scrum Master,Scrum Master,Scrum Master,3 - Mid-Level
laianef,Business Analyst,Business Analyst - Sr,Business Analyst,4 - Senior
lais.rodrigues,Commercial Partner,Not Applicable,Not Applicable,3 - Mid-Level
laisa,Project Manager,Project Manager,Project Manager,5 - Master / Manager
laisafahl,Business Analyst,Business Analyst - Sr,Business Analyst,4 - Senior
laisc,Scrum Master,Scrum Master,Scrum Master,4 - Senior
laisdina,Developer,Developer - Sr,Developer,4 - Senior
laisduarte,Scrum Master,Scrum Master,Scrum Master,4 - Senior
laismoreira,Developer,Developer - Sr,Developer,4 - Senior
laiza,Developer,Developer - Mid,Developer,3 - Mid-Level
laizorrane,Developer,Developer - Mid,Developer,3 - Mid-Level
lalbernaz,Developer,Intern,Intern,1 - Intern
lalencar,Developer,Developer - Mid,Developer,3 - Mid-Level
lalleoni,Project Manager,Project Manager,Project Manager,5 - Master / Manager
lamarca,Senior Manager,Senior Manager,Senior Manager,6 - Master 2 / Senior Manager
lamons,Developer,Developer - Sr,Developer,4 - Senior
lara.santos,Developer,Developer - Sr,Developer,4 - Senior
laraoliani,Software Architect,Software Architect - Mid,Software Architect,3 - Mid-Level
larareis,Tester,QA - Mid,QA,3 - Mid-Level
laresso,Developer Master,Developer - Master,Developer,5 - Master / Manager
larimori,Developer,Developer - Sr,Developer,4 - Senior
larissa.bispo,Data & Analytics Specialist,Data Analyst - Mid,Data Analyst,3 - Mid-Level
larissa.campos,Tester,QA - Sr,QA,4 - Senior
larissa.fernandes,Developer,Developer - Mid,Developer,3 - Mid-Level
larissaac,Developer,Intern,Intern,1 - Intern
larissaazzari,Data & Analytics Specialist,Data Analyst - Sr,Data Analyst,4 - Senior
larissabc,Tester,QA - Sr,QA,4 - Senior
larissabotelho,Developer,Developer - Mid,Developer,3 - Mid-Level
larissacyh,Developer,Developer - Jr,Developer,2 - Junior
larissadg,Developer,Developer - Mid,Developer,3 - Mid-Level
larissaf,Developer,Developer - Sr,Developer,4 - Senior
larissafsg,Developer,Developer - Mid,Developer,3 - Mid-Level
larissagb,Developer,Developer - Mid,Developer,3 - Mid-Level
larissagomes,Support Analyst,Support Analyst - Mid,Support Analyst,3 - Mid-Level
larissah,Developer,Developer - Sr,Developer,4 - Senior
larissahenrique,Developer,Developer - Mid,Developer,3 - Mid-Level
larissam,Developer,Developer - Mid,Developer,3 - Mid-Level
larissamt,Squad Leader,Scrum Master,Scrum Master,4 - Senior
larissapacheco,Tester,QA - Mid,QA,3 - Mid-Level
larissarp,Project Manager,Project Manager,Project Manager,5 - Master / Manager
larissasilva,Tester,QA - Sr,QA,4 - Senior
larissasp,Developer,Developer - Mid,Developer,3 - Mid-Level
larissavidal,Developer,Developer - Mid,Developer,3 - Mid-Level
larissavp,DevOps,Not Applicable,Not Applicable,2 - Junior
laryssa,Squad Leader,Scrum Master,Scrum Master,4 - Senior
laryssaalves,Software Architect,Software Architect - Sr,Software Architect,4 - Senior
laryssas,DevOps,Not Applicable,Not Applicable,4 - Senior
laura.gamboa,Scrum Master,Scrum Master,Scrum Master,4 - Senior
laura.reyes,Developer,Developer - Sr,Developer,4 - Senior
laura.vasquez,Data Developer,Data Developer - Mid,Data Developer,3 - Mid-Level
lauraa,Developer,Developer - Jr,Developer,2 - Junior
lauraellen,Developer,Developer - Mid,Developer,3 - Mid-Level
lauraf,Tester,QA - Sr,QA,4 - Senior
lauras,Tester,QA - Mid,QA,3 - Mid-Level
lauren.bowen,Senior Manager,Senior Manager,Senior Manager,6 - Master 2 / Senior Manager
laurice,Scrum Master,Scrum Master,Scrum Master,4 - Senior
lauromvs,Developer,Developer - Sr,Developer,4 - Senior
laylaf,Developer,Intern,Intern,1 - Intern
laysaa,Developer,Developer - Jr,Developer,2 - Junior
layshl,Software Architect,Software Architect - Sr,Software Architect,4 - Senior
layssilva,Developer,Developer - Mid,Developer,3 - Mid-Level
layze,Developer,Developer - Jr,Developer,2 - Junior
lazevedo,Developer,Developer - Sr,Developer,4 - Senior
lbaldin,Project Manager,Project Manager,Project Manager,5 - Master / Manager
lbaleeiro,Developer,Developer - Mid,Developer,3 - Mid-Level
lbarachisio,Developer,Developer - Sr,Developer,4 - Senior
lbarcellos,Developer Master,Developer - Master,Developer,5 - Master / Manager
lbarros,Squad Leader,Squad Leader,Squad Leader,5 - Master / Manager
lbastos,Project Manager,Project Manager,Project Manager,4 - Senior
lbecker,Software Architect,Software Architect - Sr,Software Architect,4 - Senior
lbegnini,Developer,Developer - Mid,Developer,3 - Mid-Level
lbenetti,Developer,Developer - Sr,Developer,4 - Senior
lbeni,Developer Master,Developer - Master,Developer,5 - Master / Manager
lbertonha,Tester,QA - Mid,QA,3 - Mid-Level
lbertoni,Developer,Developer - Sr,Developer,4 - Senior
lbilotta,Developer,Developer - Sr,Developer,4 - Senior
lbites,Developer Master,Developer - Master,Developer,5 - Master / Manager
lbomfonti,Developer,Developer - Sr,Developer,4 - Senior
lbondan,Developer,Developer - Mid,Developer,3 - Mid-Level
lbonomi,Tester,QA - Sr,QA,4 - Senior
lbortolotti,Developer,Developer - Jr,Developer,2 - Junior
lbottega,Developer,Developer - Sr,Developer,4 - Senior
lbrabes,Developer,Developer - Jr,Developer,2 - Junior
lbraga,Developer,Developer - Jr,Developer,2 - Junior
lbreia,Developer,Developer - Mid,Developer,3 - Mid-Level
lbrito,Developer,Developer - Mid,Developer,3 - Mid-Level
lbucioli,Software Architect,Software Architect - Sr,Software Architect,4 - Senior
lbudniewski,Tester,QA - Mid,QA,3 - Mid-Level
lbugada,Developer,Developer - Mid,Developer,3 - Mid-Level
lcamara,Developer,Developer - Jr,Developer,2 - Junior
lcavalcante,Developer,Developer - Sr,Developer,4 - Senior
lcavalcanti,Developer Master,Developer - Master,Developer,5 - Master / Manager
lceneviva,Scrum Master,Scrum Master,Scrum Master,4 - Senior
lcentini,Support Analyst,Support Analyst - Mid,Support Analyst,3 - Mid-Level
lchagas,Developer,Developer - Mid,Developer,3 - Mid-Level
lcoelho,Business Analyst,Business Analyst - Sr,Business Analyst,4 - Senior
lcordeiro,Software Architect,Software Architect - Sr,Software Architect,4 - Senior
lcordista,Developer,Developer - Jr,Developer,2 - Junior
lcortez,DevOps,Not Applicable,Not Applicable,3 - Mid-Level
lcortiz,Software Architect,Software Architect - Sr,Software Architect,4 - Senior
lcrepaldi,Product Owner,Business Analyst - Sr,Business Analyst,4 - Senior
lcruz,Developer,Developer - Mid,Developer,3 - Mid-Level
